park_name,lat,lon,is_poppy,x,y
MacKerricher State Park,39.4767056,-123.80346090000002,True,-0.06569877363353825,0.7510323818859771
Seacliff State Beach,36.9690675,-121.90690570000001,True,-0.03259764094771855,0.6953121377359769
Castle Rock State Park,37.22930735,-122.1262314,True,-0.03642559654695961,0.7010068385910351
Malakoff Diggins State Historic Park,39.36476155,-120.92938400000001,True,-0.015536668773026346,0.7485032125841917
Silverwood Lake State Recreation Area,34.2911157,-117.3283787,True,0.04731273009374001,0.6377973783193669
Caswell Memorial State Park,37.6953127,-121.19495259999998,True,-0.020171715232937572,0.7112535653141954
Manresa State Beach,36.92759645,-121.85945590000001,True,-0.03176948570830582,0.6944064490137984
Sinkyone Wilderness State Park,39.99542615,-123.92275490000002,True,-0.06778084671141231,0.7628054465348314
China Camp State Park,37.99895825,-122.4903324,True,-0.042780357806763564,0.7179649244879907
Marshall Gold Discovery State Historic Park,38.8055744,-120.87764209999999,True,-0.014633602256788265,0.7359296162114103
Sonoma Coast State Park,38.3419935,-123.0568162,True,-0.05266736527597263,0.7255804186537814
Chino Hills State Park,33.91604865,-117.76026,True,0.039774979430946614,0.6298916084208677
McArthur-Burney Falls Memorial State Park,41.01676645,-121.64126270000001,True,-0.0279612959628433,0.78625075410414
South Yuba River State Park,39.2911256,-121.10662679999999,True,-0.01863013920847969,0.7468417541186037
Clear Lake State Park,39.01087985,-122.8120705,True,-0.04839574698087442,0.740534444083248
Standish-Hickey State Recreation Area,39.878055700000004,-123.72678390000002,True,-0.06436050752298651,0.7601337910184931
Colonel Allensworth State Historic Park,35.8671951,-119.3886331,True,0.01135450738503966,0.6714128241358369
McGrath State Beach,34.2264357,-119.25855209999999,True,0.013624849129326724,0.6364315292642401
Sugarloaf Ridge State Park,38.4449105,-122.50220320000001,True,-0.04298754235160951,0.7278722310406999
Colusa-Sacramento River State Recreation Area,39.2210008,-122.01414,True,-0.03446923255378969,0.7452611416589071
Sunset State Beach,36.87333825,-121.82084590000001,True,-0.031095614084110712,0.6932222445888221
Cuyamaca Rancho State Park,32.9406532,-116.57212549999998,True,0.0605118384124835,0.6094929154151094
Mono Lake Tufa State Natural Reserve,38.0098553,-118.9747328,True,0.0185784303950321,0.7182062928080369
