dist_to_summit_miles,Mt. Elbert - Northeast Ridge - I - Sawatch,Wilson Peak - Southwest Ridge - III - San Juans,Culebra Peak - Northwest Ridge - II - Sangres,Mt. Oxford - Via Mt. Belford - II - Sawatch,Castle Peak - Northeast Ridge - II - Elk,Mt. Massive - East Slopes - II - Sawatch,La Plata Peak - Northwest Ridge - II - Sawatch,Mt. Lindsey - Northwest Gully - III - Sangres,Mt. of the Holy Cross - North Ridge - II - Sawatch,Mt. Princeton - East Slopes - II - Sawatch,Windom Peak - West Ridge - II - San Juans,Huron Peak - Northwest Slopes - II - Sawatch,Mt. Eolus - Northeast Ridge - III - San Juans,Mt. Lincoln - West Ridge - II - 10/Mosquito,Humboldt Peak - West Ridge - II - Sangres,Mt. Democrat - East Slope - II - 10/Mosquito,El Diente Peak - North Slopes - III - San Juans,Mt. Harvard - South Slopes - II - Sawatch,Mt. Bross - West Slopes - II - 10/Mosquito,Sunlight Peak - South Face - IV - San Juans,Quandary Peak - East Ridge - I - 10/Mosquito,North Maroon Peak - Northeast Ridge - IV - Elk,Missouri Mountain - Northwest Ridge - II - Sawatch,Mt. Belford - Northwest Ridge - II - Sawatch,Mt. Shavano - East Slopes - II - Sawatch,Mt. Blue Sky - West Ridge from Summit Lake - II - Front,Capitol Peak - Northeast Ridge - IV - Elk,Little Bear Peak - West Ridge and Hourglass - IV - Sangres,Ellingwood Point - South Face - II - Sangres,Mt. Sherman - Southwest Ridge - II - 10/Mosquito,Kit Carson Peak - Via Challenger Point - III - Sangres,Mt. Bierstadt - West Slopes - II - Front,Tabeguache Peak - Via Mt. Shavano - II - Sawatch,Crestone Peak - South Face - III - Sangres,Pyramid Peak - Northeast Ridge - IV - Elk,Handies Peak - Southwest Slopes - I - San Juans,Crestone Needle - South Face - IV - Sangres,Mt. Columbia - West Slopes - II - Sawatch,Conundrum Peak - South Ridge - II - Elk,Torreys Peak - South Slopes - I - Front,Mt. Yale - Southwest Slopes - II - Sawatch,Mt. Sneffels - South Slopes - III - San Juans,North Eolus - South Ridge - III - San Juans,Wetterhorn Peak - Southeast Ridge - III - San Juans,Grays Peak - North Slopes - I - Front,Maroon Peak - South Ridge - III - Elk,Mt. Wilson - North Slopes - IV - San Juans,Challenger Point - North Slope - II - Sangres,Snowmass Mountain - East Slopes - III - Elk,Pikes Peak - Northwest Slopes - II - Front,Longs Peak - Keyhole Route - III - Front,Mt. Cameron - West Ridge - II - 10/Mosquito,Mt. Antero - West Slopes - II - Sawatch,San Luis Peak - Northeast Ridge - I - San Juans,Uncompahgre Peak - South Ridge - II - San Juans
-5.32,,,,,,10778.671718074293,,,,9531.214961247424,9874.51796519274,,10028.756278130437,,,,9890.501577634803,10203.742778182406,,9980.452390747894,,,,,,,10034.963307312302,8817.813211428573,9914.50185538145,,9756.315407114522,,9786.174721639309,,,,9890.50108474313,9995.827637470025,,,,,9878.077117122142,,,9669.158939393843,10076.871321438526,9313.307988428654,9768.724038935175,10470.976233558786,10155.712342965495,,10404.645125069374,10740.785214414876,
-5.31,,,,,,10781.0370904,,,,9539.666581935484,9877.3202904884,,10033.910979315027,,,,9890.161915816097,10205.811673508882,,9981.74435929081,,,,,,,10029.77717722418,8820.660349034455,9918.012128400002,,9760.565771388712,,9792.443795908659,,,,9898.854068806359,10007.783265322214,,,,,9883.388086815974,,,9670.960352178385,10080.987685137126,9315.984624982057,9774.493678403367,10476.362595281878,10161.783585016987,,10408.287738160985,10745.899699106041,
-5.3,,,,,,10781.0370904,,,,9555.39157389548,9881.60147449078,,10039.203485510716,,,,9891.710176122242,10207.880568835357,,9986.959766912261,,,,,,,10029.99430065312,8823.507486640337,9918.012128400002,,9775.992772195583,,9797.020231941087,,,,9907.207067063639,10019.043914217586,,,,,9890.00343132054,,,9673.240042886217,10085.104048835725,9316.372696456705,9780.263317871557,10482.034543090413,10167.854827068479,,10411.702244420967,10751.21234893399,
-5.29,,,,,,10781.0370904,,,,9572.492178321447,9888.216818995345,,10044.533200013662,,,,9894.509164223924,10209.949464161831,,9993.245730299659,,,,,,,10031.112742834073,8833.925602145979,9918.012128400002,,9781.420823479488,,9800.847015461175,,,,9915.56007028178,10029.236313078838,,,,,9896.618775825105,,,9674.309633073186,10090.521570581363,9315.299093824591,9786.032957339748,10487.98786501541,10173.098559908192,,10415.310890374185,10756.349852775003,
-5.28,,,,,,10781.0370904,,,,9588.346182843607,9894.83216349991,,10049.86291451661,,,,9897.308152325604,10212.019479556002,,9999.531693687057,,,,,,,10031.531952726686,8845.990080303125,9912.515685598282,,9785.756267680103,,9804.024084282662,,,,9923.780091056826,10037.008568529653,,,,,9916.122098150357,,,9673.846899851558,10097.059054276473,9320.655406761049,9791.802596807938,10492.014232814026,10177.434728653172,,10426.076912569364,10759.75540724598,
-5.27,,,,,,10785.670282470675,,,,9597.198858858872,9908.876615058933,,10055.31442759594,,,,9897.763242948802,10214.316485318872,,10005.817657074454,,,,,,,10028.923976175116,8857.982932755333,9923.12792480772,,9801.761964865558,,9803.374255549345,,,,9931.971762252226,10041.622491570351,,,,,9942.95017163664,,,9676.64470666551,10103.596537971584,9328.199422492891,9797.57223627613,10496.470048695395,10181.770897398152,,10436.842934764545,10763.160961716956,
-5.26,,,,,,10791.281399107527,,,,9606.051534874136,9935.704688545211,,10064.40467559596,,,,9897.4010236018,10216.61349108174,,10005.286386965656,,,,,,,10026.315999623544,8869.211114158985,9943.491888964674,,9815.923674795795,,9803.309720570644,,,,9937.517204040025,10046.743281437855,,,,,9969.77824512292,,,9680.471674759609,10109.065159747735,9343.681163044334,9803.341875744321,10504.883645466958,10185.057360748955,,10447.071373191508,10767.60127324918,
-5.25,,,,,,10796.89251574438,,,,9606.02585038727,9962.532762031491,,10073.494923595981,,,,9897.038804254798,10218.910496844608,,10004.546554655908,,,,,,,10024.464197583273,8880.439295562639,9963.85585312163,,9829.182923253671,,9803.952426456064,,,,9942.680453012275,10052.416746622916,,,,,9977.976969529816,,,9683.753823283696,10113.910616491099,9359.269129176457,9808.05993970648,10513.905597167546,10187.925945094968,,10448.09696152879,10773.295199922642,
-5.24,,,,,,10803.283402298403,,,,9604.907933301374,9977.628046367774,,10082.585171596002,,,,9900.785882385595,10221.207502607478,,10003.806722346162,,,,,,,10023.344468163497,8891.260055114379,9969.985719291766,,9837.5441463157,,9804.583814461872,,,,9946.869168648886,10059.441272360227,,,,,9979.268938072732,,,9684.323792878722,10118.756073234465,9362.996500368257,9808.343616425154,10523.516605994238,10190.794529440984,,10449.122549866071,10778.989126596105,
-5.2299999999999995,,,,,,10810.66558480994,,,,9604.279544479086,9978.92001491069,,10090.895633393708,,,,9904.825230555745,10222.602285456122,,10003.066890036416,,,,,,,10022.22473874372,8901.232255680809,9972.46541308813,,9844.571266381656,,9805.607482703628,,,,9950.990984847984,10067.611377016001,,,,,9980.560906615647,,,9687.069483417332,10121.547473047578,9367.240644252035,9808.62729314383,10532.640901030341,10195.98174807162,,10450.587721291718,10781.89408827223,
