wind_speed_max,wind_speed_avg,month_name
15.211192,14.987498000000002,Jan
17.671826000000003,17.448132,Jan
17.224438000000003,14.54011,Jan
20.132460000000002,19.461378,Jan
16.329662,15.65858,Jan
15.434886000000002,13.869028000000002,Jan
16.329662,15.211192,Jan
16.329662,15.434886000000002,Jan
24.382646,23.040482000000004,Jan
27.961750000000002,26.172198,Jan
31.988242000000003,29.974996000000004,Jan
36.014734000000004,34.225182000000004,Jan
37.133204000000006,34.896264,Jan
36.014734000000004,33.777794,Jan
44.515106,41.830778,Jan
49.212680000000006,45.85727,Jan
44.515106,42.054472000000004,Jan
39.14645,37.356898,Jan
38.02798,35.79104,Jan
37.804286,35.343652000000006,Jan
38.922756,34.896264,Jan
39.81753200000001,36.238428,Jan
39.370144,36.238428,Jan
38.699062000000005,34.896264,Jan
